family,-4901.469,956.4684
life,-4017.1326,774.9318
same,-1711.6797,-391.4672
general,-472.87344,5510.137
left,-1095.2299,-4407.7773
good,-3751.6235,-3395.4429
top,4122.927,-2217.1304
university,959.5846,5757.48
going,-2316.6536,-5387.603
number,1797.1605,-127.23002
major,3182.8333,1792.7866
known,-71.42805,2345.7178
points,4734.4277,-5074.368
won,4771.487,-3266.0513
six,3334.626,-3441.1943
month,2237.389,-1057.479
dollars,3298.9622,-3957.3584
bank,2740.0378,4096.839
iraq,1588.1708,1449.062
use,-1631.034,-131.41605
members,-1981.8993,2600.324
each,253.08212,-3708.2534
area,2610.6667,1808.8156
found,-2262.5042,1049.8502
official,-1089.548,5203.0664
sunday,2307.0923,-2137.5286
place,1027.386,-3438.5244
go,-2322.7815,-5237.9707
based,4051.1313,4091.2725
among,1812.8105,288.81012
third,5202.9824,-4078.7683
times,2780.1326,-1862.4615
took,-828.5167,-4189.6807
right,-3236.4485,-3413.967
days,248.24757,-2805.8997
local,1419.8004,2613.5327
economic,2263.9905,4869.0835
countries,4068.3184,1733.8486
see,-4259.8203,-571.34186
best,229.85109,-4176.005
report,-1405.1934,4321.7515
killed,-704.9023,-879.25525
held,2041.652,450.0715
business,652.443,4044.6108
west,6594.154,161.9885
does,-5691.226,737.9277
own,-3104.0947,-1973.2458
came,-449.90768,-3800.706
law,-2498.4736,5829.3516
months,443.2917,-916.24603
women,1457.0764,-1497.5027
power,864.58215,473.2882
think,-5561.0435,-1281.3611
service,1307.9883,3526.3445
children,-2559.1484,600.3326
bush,-2814.8823,1620.8042
show,-1562.3152,-1707.4763
help,-2906.916,-2056.9368
chief,-989.3744,5550.7017
saturday,2447.1133,-2181.637
system,14.113081,3697.4739
john,-2394.6272,4220.335
support,-2536.3855,1547.4908
series,3139.4548,-2327.7312
play,1214.992,-4693.7583
office,-2407.2546,5344.781
following,1502.7755,1225.905
me,-4967.7104,-3832.4487
meeting,327.80157,3229.5688
expected,1202.4799,-867.7833
late,1759.2332,-1715.4728
washington,-297.9876,4271.738
games,3460.326,-4619.5913
european,4776.991,1869.0736
league,4170.4717,-928.57965
reported,75.002884,2495.8647
final,3853.382,-4242.016
added,-2708.8733,-1111.0558
without,-3934.9783,-549.2929
british,4978.3027,1987.8545
white,-3596.7605,2251.307
history,813.3487,3117.5586
man,-2913.9072,-2887.4314
men,120.36201,-3251.8914
became,335.90558,1996.7114
want,-5449.0703,-1525.3997
march,2029.8085,933.7229
case,-3449.0178,2831.7292
few,-1763.0731,-2519.744
run,2017.0072,-5552.089
money,-4131.4624,-315.04742
began,-1049.1373,-10.689782
open,4268.8936,-3068.35
name,-2320.872,3672.3972
trade,3206.045,3371.931
center,1027.966,4538.332
israel,182.21857,2688.4246
oil,4745.1914,-230.14185
too,-3527.5583,-3344.5674
al,1649.7953,564.0544
film,-1340.381,1168.2488
win,2643.6123,-4934.9775
led,1482.9404,-1033.6987
east,6393.4546,617.81934
central,4391.5537,4173.4805
air,2189.2393,-347.20508
come,-2533.4446,-3891.9458
chinese,4652.9756,1009.97015
town,3241.2542,877.51886
leader,210.7182,1834.5769
army,-518.5622,1908.0656
line,4919.305,-1905.4631
never,-5264.6475,-1429.3124
little,-3868.5525,-3169.5981
played,1796.811,-3470.242
prime,1670.2115,1682.8611
death,-3128.7776,3313.4475
companies,3183.5452,1235.7621
least,31.068254,-2579.715
put,-2490.6245,-4321.253
forces,-179.49403,602.0355
past,3557.4324,-4073.83
de,2099.683,-1953.0917
half,2869.63,-5082.4717
june,2199.372,1063.6763
saying,-3724.648,1513.1016
know,-6307.4136,-747.4829
federal,-1970.8936,4210.4697
french,5511.5254,-163.32796
peace,-2954.5881,370.13214
earlier,686.3707,-872.4745
capital,4012.86,2959.1091
force,-978.0618,1776.8723
great,-1900.2256,-1602.8804
union,1667.5682,4900.9746
near,4014.0913,-146.2799
released,-212.24463,1569.0707
small,-19.846897,-1744.579
department,-1808.3591,6657.3335
